person_id,name,alias,city,record_date
P0475,Dev Khan,D. Khan,Nagpur,2026-03-21
P0476,Dev Sethi,D. Sethi,Jabalpur,2026-07-26
P0477,Pankaj Khan,P. Khan,Nagpur,2026-07-18
P0478,Varun Mishra,,Bhopal,2026-06-23
P0479,Ravi Bansal,,Indore,2026-02-25
P0480,Aman Singh,Aman,Bhopal,2026-07-25
P0481,Aakash Mishra,Aakash,Bhopal,2026-02-09
P0482,Aman Tiwari,,Gwalior,2026-08-12
P0483,Pankaj Jain,,Jabalpur,2026-06-01
P0484,Aditya Joshi,A. Joshi,Raipur,2026-02-04
P0485,Neeraj Singh,N. Singh,Sagar,2026-08-26
P0486,Manish Tiwari,M. Tiwari,Sagar,2026-08-04
P0487,Mohit Jain,M. Jain,Indore,2026-05-02
P0488,Vikram Mehta,V. Mehta,Indore,2026-03-24
P0489,Aman Tiwari,Aman,Jabalpur,2026-06-18
P0490,Suresh Jain,Suresh,Raipur,2026-03-06
P0491,Suresh Yadav,Suresh,Gwalior,2026-08-19
P0492,Suresh Yadav,Suresh,Gwalior,2026-04-09
P0493,Sameer Das,Sameer,Jabalpur,2026-06-11
P0494,Manish Jain,Manish,Ujjain,2026-08-17
P0495,Aakash Bansal,A. Bansal,Raipur,2026-02-12
P0496,Nitin Jain,,Jabalpur,2026-05-20
P0497,Ankit Khan,,Jabalpur,2026-06-04
P0498,Aman Malhotra,Aman,Jabalpur,2026-06-23
P0499,Neeraj Tiwari,N. Tiwari,Raipur,2026-03-19
P0500,Pankaj Mishra,Pankaj,Nagpur,2026-03-18
